temperature,rainfall,humidity,yeild_apples
25.00,76.00,99.00,72.20
39.00,65.00,70.00,59.70
59.00,45.00,77.00,65.20
84.00,63.00,38.00,56.80
66.00,50.00,52.00,55.80
41.00,94.00,77.00,69.60
91.00,57.00,96.00,86.70
49.00,96.00,99.00,83.40
67.00,20.00,28.00,38.10
85.00,31.00,95.00,79.20
78.00,46.00,34.00,49.60
31.00,40.00,63.00,48.80
52.00,77.00,85.00,73.50
28.00,66.00,77.00,60.10
32.00,50.00,57.00,48.10
31.00,79.00,53.00,51.60
45.00,76.00,48.00,52.70
80.00,52.00,27.00,47.90
24.00,45.00,90.00,61.20
20.00,89.00,84.00,65.80
32.00,20.00,96.00,61.60
56.00,44.00,74.00,62.60
93.00,70.00,80.00,81.90
62.00,87.00,73.00,72.50
85.00,48.00,90.00,80.10
87.00,86.00,93.00,89.80
43.00,57.00,69.00,58.80
28.00,71.00,44.00,44.60
44.00,95.00,58.00,61.20
88.00,48.00,46.00,59.00
80.00,50.00,38.00,53.00
27.00,75.00,89.00,67.60
93.00,61.00,73.00,76.60
31.00,87.00,62.00,57.70
38.00,94.00,44.00,52.20
55.00,93.00,55.00,62.60
56.00,22.00,47.00,44.70
38.00,64.00,79.00,63.70
26.00,22.00,40.00,32.20
27.00,98.00,24.00,39.70
55.00,37.00,38.00,42.90
63.00,69.00,46.00,55.70
21.00,34.00,21.00,23.60
31.00,89.00,85.00,69.60
45.00,69.00,91.00,72.80
48.00,86.00,77.00,70.10
27.00,51.00,27.00,31.80
40.00,47.00,88.00,65.40
29.00,45.00,69.00,52.20
35.00,55.00,85.00,64.00
62.00,43.00,58.00,56.20
67.00,95.00,54.00,66.10
35.00,46.00,55.00,47.20
36.00,75.00,28.00,39.80
97.00,62.00,87.00,85.00
29.00,52.00,25.00,31.60
31.00,26.00,72.00,50.50
94.00,100.00,59.00,77.70
47.00,52.00,76.00,62.50
46.00,52.00,70.00,59.20
40.00,68.00,72.00,61.60
35.00,27.00,84.00,57.90
69.00,96.00,29.00,54.40
69.00,57.00,52.00,58.10
33.00,45.00,71.00,54.40
88.00,95.00,82.00,86.40
48.00,90.00,69.00,66.90
55.00,78.00,66.00,65.10
28.00,44.00,67.00,50.70
34.00,58.00,27.00,35.30
62.00,46.00,89.00,72.30
92.00,78.00,89.00,87.70
20.00,69.00,70.00,54.80
88.00,49.00,65.00,68.70
56.00,83.00,36.00,51.40
51.00,67.00,54.00,55.70
47.00,50.00,71.00,59.60
32.00,94.00,71.00,63.90
33.00,21.00,96.00,62.10
100.00,81.00,69.00,80.70
31.00,58.00,22.00,31.90
74.00,96.00,33.00,57.90
79.00,98.00,99.00,92.80
49.00,76.00,38.00,48.90
78.00,51.00,79.00,73.10
28.00,51.00,62.00,49.60
43.00,49.00,55.00,50.20
73.00,62.00,50.00,59.30
41.00,59.00,78.00,63.10
44.00,31.00,52.00,45.40
29.00,97.00,29.00,42.60
38.00,75.00,60.00,56.40
68.00,60.00,29.00,46.90
46.00,71.00,37.00,46.50
44.00,39.00,49.00,45.50
25.00,78.00,31.00,38.60
52.00,84.00,47.00,55.90
20.00,98.00,71.00,61.10
99.00,47.00,67.00,72.60
68.00,83.00,94.00,84.00
38.00,90.00,20.00,39.40
99.00,67.00,43.00,64.60
53.00,71.00,39.00,49.60
85.00,30.00,49.00,56.00
90.00,20.00,43.00,52.50
62.00,67.00,38.00,51.00
81.00,81.00,78.00,79.50
23.00,69.00,65.00,53.20
86.00,66.00,22.00,50.00
58.00,89.00,76.00,73.20
28.00,51.00,88.00,62.60
98.00,33.00,76.00,74.00
41.00,22.00,84.00,58.70
52.00,69.00,60.00,59.40
46.00,68.00,38.00,46.40
87.00,35.00,54.00,60.10
37.00,76.00,74.00,63.30
86.00,80.00,40.00,61.80
57.00,86.00,45.00,56.80
31.00,94.00,87.00,71.60
45.00,31.00,46.00,42.70
26.00,20.00,31.00,27.30
56.00,36.00,68.00,58.00
96.00,96.00,48.00,72.00
35.00,57.00,23.00,33.40
51.00,28.00,78.00,59.90
44.00,40.00,78.00,60.20
69.00,44.00,78.00,68.50
52.00,29.00,84.00,63.40
49.00,91.00,85.00,75.40
44.00,45.00,51.00,47.70
92.00,48.00,78.00,76.20
37.00,30.00,42.00,38.10
62.00,34.00,59.00,54.90
66.00,71.00,61.00,64.50
100.00,77.00,20.00,55.40
95.00,30.00,25.00,47.00
86.00,45.00,100.00,84.80
70.00,60.00,99.00,82.50
37.00,36.00,55.00,45.80
50.00,33.00,26.00,34.60
33.00,40.00,64.00,49.90
86.00,98.00,25.00,57.90
57.00,75.00,21.00,42.60
53.00,24.00,73.00,57.20
34.00,78.00,23.00,37.30
55.00,45.00,42.00,46.50
89.00,84.00,82.00,84.50
68.00,47.00,84.00,71.80
48.00,87.00,38.00,50.80
45.00,67.00,67.00,60.40
44.00,29.00,77.00,57.50
79.00,72.00,58.00,67.10
31.00,70.00,96.00,71.30
31.00,73.00,49.00,48.40
92.00,56.00,85.00,81.30
