temperature,rainfall,humidity
25.00,76.00,99.00
39.00,65.00,70.00
59.00,45.00,77.00
84.00,63.00,38.00
66.00,50.00,52.00
41.00,94.00,77.00
91.00,57.00,96.00
49.00,96.00,99.00
67.00,20.00,28.00
85.00,31.00,95.00
78.00,46.00,34.00
31.00,40.00,63.00
52.00,77.00,85.00
28.00,66.00,77.00
32.00,50.00,57.00
31.00,79.00,53.00
45.00,76.00,48.00
80.00,52.00,27.00
24.00,45.00,90.00
20.00,89.00,84.00
32.00,20.00,96.00
56.00,44.00,74.00
93.00,70.00,80.00
62.00,87.00,73.00
85.00,48.00,90.00
87.00,86.00,93.00
43.00,57.00,69.00
28.00,71.00,44.00
44.00,95.00,58.00
88.00,48.00,46.00
80.00,50.00,38.00
27.00,75.00,89.00
93.00,61.00,73.00
31.00,87.00,62.00
38.00,94.00,44.00
55.00,93.00,55.00
56.00,22.00,47.00
38.00,64.00,79.00
26.00,22.00,40.00
27.00,98.00,24.00
55.00,37.00,38.00
63.00,69.00,46.00
21.00,34.00,21.00
31.00,89.00,85.00
45.00,69.00,91.00
48.00,86.00,77.00
27.00,51.00,27.00
40.00,47.00,88.00
29.00,45.00,69.00
35.00,55.00,85.00
62.00,43.00,58.00
67.00,95.00,54.00
35.00,46.00,55.00
36.00,75.00,28.00
97.00,62.00,87.00
29.00,52.00,25.00
31.00,26.00,72.00
94.00,100.00,59.00
47.00,52.00,76.00
46.00,52.00,70.00
40.00,68.00,72.00
35.00,27.00,84.00
69.00,96.00,29.00
69.00,57.00,52.00
33.00,45.00,71.00
88.00,95.00,82.00
48.00,90.00,69.00
55.00,78.00,66.00
28.00,44.00,67.00
34.00,58.00,27.00
62.00,46.00,89.00
92.00,78.00,89.00
20.00,69.00,70.00
88.00,49.00,65.00
56.00,83.00,36.00
51.00,67.00,54.00
47.00,50.00,71.00
32.00,94.00,71.00
33.00,21.00,96.00
100.00,81.00,69.00
31.00,58.00,22.00
74.00,96.00,33.00
79.00,98.00,99.00
49.00,76.00,38.00
78.00,51.00,79.00
28.00,51.00,62.00
43.00,49.00,55.00
73.00,62.00,50.00
41.00,59.00,78.00
44.00,31.00,52.00
29.00,97.00,29.00
38.00,75.00,60.00
68.00,60.00,29.00
46.00,71.00,37.00
44.00,39.00,49.00
25.00,78.00,31.00
52.00,84.00,47.00
20.00,98.00,71.00
99.00,47.00,67.00
68.00,83.00,94.00
38.00,90.00,20.00
99.00,67.00,43.00
53.00,71.00,39.00
85.00,30.00,49.00
90.00,20.00,43.00
62.00,67.00,38.00
81.00,81.00,78.00
23.00,69.00,65.00
86.00,66.00,22.00
58.00,89.00,76.00
28.00,51.00,88.00
98.00,33.00,76.00
41.00,22.00,84.00
52.00,69.00,60.00
46.00,68.00,38.00
87.00,35.00,54.00
37.00,76.00,74.00
86.00,80.00,40.00
57.00,86.00,45.00
31.00,94.00,87.00
45.00,31.00,46.00
26.00,20.00,31.00
56.00,36.00,68.00
96.00,96.00,48.00
35.00,57.00,23.00
51.00,28.00,78.00
44.00,40.00,78.00
69.00,44.00,78.00
52.00,29.00,84.00
49.00,91.00,85.00
44.00,45.00,51.00
92.00,48.00,78.00
37.00,30.00,42.00
62.00,34.00,59.00
66.00,71.00,61.00
100.00,77.00,20.00
95.00,30.00,25.00
86.00,45.00,100.00
70.00,60.00,99.00
37.00,36.00,55.00
50.00,33.00,26.00
33.00,40.00,64.00
86.00,98.00,25.00
57.00,75.00,21.00
53.00,24.00,73.00
34.00,78.00,23.00
55.00,45.00,42.00
89.00,84.00,82.00
68.00,47.00,84.00
48.00,87.00,38.00
45.00,67.00,67.00
44.00,29.00,77.00
79.00,72.00,58.00
31.00,70.00,96.00
31.00,73.00,49.00
92.00,56.00,85.00
69.00,60.00,85.00
66.00,26.00,35.00
94.00,81.00,79.00
29.00,71.00,65.00
23.00,97.00,21.00
74.00,64.00,85.00
39.00,86.00,76.00
22.00,83.00,52.00
32.00,21.00,59.00
37.00,87.00,61.00
29.00,85.00,64.00
94.00,72.00,48.00
85.00,83.00,73.00
48.00,65.00,25.00
50.00,91.00,77.00
23.00,36.00,40.00
46.00,72.00,51.00
90.00,68.00,95.00
47.00,58.00,32.00
80.00,85.00,85.00
73.00,76.00,36.00
26.00,89.00,95.00
84.00,27.00,37.00
55.00,37.00,57.00
41.00,97.00,59.00
30.00,21.00,41.00
24.00,62.00,32.00
73.00,58.00,73.00
57.00,82.00,67.00
66.00,30.00,60.00
36.00,87.00,41.00
96.00,25.00,86.00
45.00,89.00,20.00
46.00,72.00,64.00
77.00,77.00,75.00
29.00,65.00,62.00
80.00,44.00,90.00
43.00,25.00,94.00
55.00,86.00,76.00
45.00,53.00,77.00
35.00,85.00,38.00
63.00,38.00,22.00
36.00,87.00,59.00
92.00,22.00,32.00
100.00,58.00,90.00
31.00,98.00,78.00
86.00,21.00,82.00
35.00,56.00,60.00
63.00,37.00,81.00
45.00,89.00,80.00
43.00,59.00,61.00
40.00,47.00,54.00
83.00,35.00,68.00
89.00,75.00,55.00
80.00,52.00,91.00
100.00,34.00,60.00
84.00,61.00,31.00
72.00,46.00,45.00
95.00,29.00,77.00
81.00,36.00,28.00
55.00,65.00,29.00
60.00,35.00,40.00
48.00,76.00,85.00
82.00,91.00,95.00
48.00,24.00,45.00
98.00,42.00,28.00
76.00,81.00,31.00
93.00,91.00,88.00
84.00,48.00,57.00
73.00,48.00,64.00
55.00,37.00,46.00
74.00,92.00,90.00
23.00,44.00,90.00
52.00,86.00,41.00
76.00,79.00,25.00
51.00,22.00,86.00
25.00,77.00,78.00
94.00,65.00,74.00
39.00,32.00,29.00
87.00,86.00,100.00
51.00,70.00,29.00
40.00,40.00,75.00
37.00,55.00,69.00
57.00,28.00,25.00
65.00,63.00,51.00
42.00,77.00,71.00
64.00,83.00,72.00
61.00,80.00,36.00
98.00,89.00,50.00
66.00,86.00,77.00
35.00,76.00,96.00
30.00,57.00,38.00
38.00,97.00,98.00
100.00,73.00,22.00
20.00,97.00,79.00
51.00,66.00,100.00
33.00,62.00,31.00
58.00,41.00,37.00
35.00,95.00,25.00
77.00,34.00,64.00
49.00,48.00,86.00
61.00,28.00,55.00
27.00,55.00,86.00
67.00,69.00,23.00
55.00,79.00,79.00
25.00,98.00,72.00
27.00,60.00,40.00
40.00,93.00,82.00
33.00,58.00,75.00
85.00,95.00,73.00
79.00,50.00,47.00
79.00,21.00,22.00
39.00,22.00,76.00
25.00,85.00,78.00
81.00,96.00,63.00
90.00,76.00,61.00
58.00,31.00,27.00
49.00,40.00,34.00
60.00,35.00,43.00
63.00,85.00,56.00
28.00,32.00,28.00
46.00,54.00,57.00
36.00,52.00,96.00
82.00,74.00,44.00
48.00,35.00,35.00
96.00,30.00,25.00
65.00,83.00,77.00
80.00,63.00,51.00
85.00,96.00,78.00
83.00,42.00,83.00
84.00,25.00,72.00
54.00,60.00,80.00
62.00,70.00,97.00
79.00,63.00,57.00
58.00,81.00,43.00
30.00,40.00,72.00
86.00,89.00,23.00
80.00,35.00,49.00
69.00,60.00,85.00
42.00,48.00,94.00
36.00,99.00,49.00
58.00,98.00,22.00
56.00,90.00,91.00
57.00,95.00,88.00
21.00,30.00,30.00
80.00,86.00,80.00
21.00,80.00,83.00
92.00,28.00,89.00
78.00,51.00,29.00
38.00,32.00,36.00
90.00,81.00,58.00
56.00,30.00,72.00
44.00,26.00,21.00
68.00,99.00,35.00
55.00,24.00,63.00
45.00,27.00,45.00
30.00,28.00,51.00
71.00,65.00,45.00
52.00,76.00,22.00
68.00,40.00,86.00
76.00,35.00,57.00
60.00,70.00,32.00
41.00,59.00,21.00
83.00,40.00,21.00
99.00,61.00,53.00
71.00,72.00,95.00
49.00,68.00,86.00
21.00,96.00,79.00
47.00,31.00,51.00
90.00,69.00,100.00
34.00,71.00,26.00
68.00,81.00,71.00
22.00,33.00,64.00
54.00,61.00,35.00
67.00,41.00,45.00
94.00,81.00,20.00
