,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
19,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224
22,NCB30,14.6,Low Fat,0.025698133999999997,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672
26,FDV10,7.645,Regular,0.06669343700000001,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
66,FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664
86,FDZ55,6.055,Low Fat,0.025403897999999998,Fruits and Vegetables,160.99200000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.4640000000004
93,FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523
94,NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412
97,FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
117,FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244
123,FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048
125,FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.8689999999999
140,NCC31,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748
144,FDI16,14.0,Regular,0.0,Frozen Foods,53.06399999999999,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488
146,FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312
147,NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
148,FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311
149,NCO26,7.235,Low Fat,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364
170,NCM43,14.5,Low Fat,0.019471688,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573
201,FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.736
210,DRK12,9.5,LF,0.041878397000000005,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16
211,DRC27,13.8,Low Fat,0.058091482,Dairy,245.1802,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.6446
219,FDA39,6.32,LF,0.0,Meat,40.2822,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.1838
228,FDS49,9.0,Low Fat,0.0,Canned,79.7644,OUT035,2004,Small,Tier 2,Supermarket Type1,1649.8524
233,FDF14,7.55,Low Fat,0.027164679,Canned,152.334,OUT035,2004,Small,Tier 2,Supermarket Type1,2603.278
242,NCU41,18.85,Low Fat,0.052044976,Health and Hygiene,192.1846,OUT035,2004,Small,Tier 2,Supermarket Type1,3248.4382
244,DRJ51,14.1,Low Fat,0.08797726199999999,Dairy,229.0668,OUT035,2004,Small,Tier 2,Supermarket Type1,3225.1352
245,FDK21,7.905,Low Fat,0.010010425,Snack Foods,249.0408,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
247,FDU44,12.15,Regular,0.058414678,Fruits and Vegetables,163.4552,OUT035,2004,Small,Tier 2,Supermarket Type1,974.7312
261,DRK01,7.63,Low Fat,0.06105276,Soft Drinks,95.4436,OUT035,2004,Small,Tier 2,Supermarket Type1,1418.154
273,FDK51,19.85,Low Fat,0.005234153,Dairy,264.0884,OUT035,2004,Small,Tier 2,Supermarket Type1,5829.7448
281,NCZ18,7.825,Low Fat,0.186032678,Household,253.0698,OUT035,2004,Small,Tier 2,Supermarket Type1,6088.0752
285,FDT39,6.26,Regular,0.009866049,Meat,151.1366,OUT035,2004,Small,Tier 2,Supermarket Type1,2267.049
288,FDB57,20.25,Regular,0.018801549,Fruits and Vegetables,222.1772,OUT035,2004,Small,Tier 2,Supermarket Type1,5559.43
296,FDK36,7.09,Low Fat,0.00721395,Baking Goods,47.9034,OUT035,2004,Small,Tier 2,Supermarket Type1,583.2408
302,NCQ54,17.7,Low Fat,0.012540003000000001,Household,167.0474,OUT035,2004,Small,Tier 2,Supermarket Type1,5895.659000000001
309,FDX19,19.1,Low Fat,0.09671552300000001,Fruits and Vegetables,235.0958,OUT035,2004,Small,Tier 2,Supermarket Type1,3038.0454
310,FDD40,20.25,Regular,0.014790558999999998,Dairy,193.6162,OUT035,2004,Small,Tier 2,Supermarket Type1,3848.324
366,FDD44,8.05,Regular,0.07838564,Fruits and Vegetables,256.4646,OUT035,2004,Small,Tier 2,Supermarket Type1,5153.292
373,FDX09,9.0,Low Fat,0.065236932,Snack Foods,176.437,OUT035,2004,Small,Tier 2,Supermarket Type1,7763.228
379,FDY28,7.47,Regular,0.0,Frozen Foods,214.3218,OUT035,2004,Small,Tier 2,Supermarket Type1,4274.436
385,FDB34,15.25,Low Fat,0.026604781,Snack Foods,86.2198,OUT035,2004,Small,Tier 2,Supermarket Type1,610.5386
386,FDC50,15.85,Low Fat,0.0,Canned,96.4094,OUT035,2004,Small,Tier 2,Supermarket Type1,1237.7222
402,FDT59,13.65,Low Fat,0.015908423999999997,Breads,231.1668,OUT035,2004,Small,Tier 2,Supermarket Type1,6911.004
416,FDF11,10.195,Regular,0.017627888,Starchy Foods,239.6538,OUT035,2004,Small,Tier 2,Supermarket Type1,2403.538
445,FDU08,10.3,Low Fat,0.027310252,Fruits and Vegetables,101.0042,OUT035,2004,Small,Tier 2,Supermarket Type1,1289.6546
450,FDE24,14.85,Low Fat,0.09344495,Baking Goods,141.0812,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.8496
455,NCE43,12.5,LF,0.103422709,Household,169.9448,OUT035,2004,Small,Tier 2,Supermarket Type1,2897.5616
465,FDO28,5.765,Low Fat,0.072284689,Frozen Foods,119.9098,OUT035,2004,Small,Tier 2,Supermarket Type1,2048.6666
476,NCT54,8.695,Low Fat,0.119513002,Household,93.4094,OUT035,2004,Small,Tier 2,Supermarket Type1,856.8846
481,DRK59,8.895,LF,0.07543556,Hard Drinks,235.8616,OUT035,2004,Small,Tier 2,Supermarket Type1,3046.7008
484,FDR21,19.7,Low Fat,0.066922802,Snack Foods,174.83700000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,2999.429
494,FDP32,6.65,Low Fat,0.087652908,Fruits and Vegetables,128.8678,OUT035,2004,Small,Tier 2,Supermarket Type1,1398.8458
498,FDA40,16.0,Regular,0.09925243800000001,Frozen Foods,87.4856,OUT035,2004,Small,Tier 2,Supermarket Type1,1054.6272
508,NCM07,9.395,Low Fat,0.039954281,Others,82.4908,OUT035,2004,Small,Tier 2,Supermarket Type1,2013.3792
536,FDA16,6.695,Low Fat,0.033935576,Frozen Foods,221.9456,OUT035,2004,Small,Tier 2,Supermarket Type1,2210.456
539,NCL19,15.35,Low Fat,0.015673267,Others,145.047,OUT035,2004,Small,Tier 2,Supermarket Type1,2719.7929999999997
544,DRG01,14.8,Low Fat,0.044869794000000005,Soft Drinks,76.467,OUT035,2004,Small,Tier 2,Supermarket Type1,1531.34
550,FDU21,11.8,Regular,0.076705948,Snack Foods,34.7558,OUT035,2004,Small,Tier 2,Supermarket Type1,780.9834
564,FDX22,6.785,Regular,0.022970467999999997,Snack Foods,211.0928,OUT035,2004,Small,Tier 2,Supermarket Type1,4418.2488
577,DRE25,15.35,Low Fat,0.07326933599999999,Soft Drinks,92.11200000000001,OUT035,2004,Small,Tier 2,Supermarket Type1,1118.5439999999999
585,FDP10,19.0,Low Fat,0.128065918,Snack Foods,104.3622,OUT035,2004,Small,Tier 2,Supermarket Type1,1905.5196
592,NCH30,17.1,Low Fat,0.067141355,Household,114.586,OUT035,2004,Small,Tier 2,Supermarket Type1,2942.836
605,FDQ48,14.3,Regular,0.034404732,Baking Goods,98.1726,OUT035,2004,Small,Tier 2,Supermarket Type1,489.36300000000006
607,FDR58,6.675,Low Fat,0.041913535,Snack Foods,90.7462,OUT035,2004,Small,Tier 2,Supermarket Type1,1665.8316
615,FDH45,15.1,reg,0.10564685300000001,Fruits and Vegetables,42.8796,OUT035,2004,Small,Tier 2,Supermarket Type1,949.4308
625,FDB21,7.475,Low Fat,0.148492521,Fruits and Vegetables,240.6854,OUT035,2004,Small,Tier 2,Supermarket Type1,1691.7978
629,FDM01,7.895,Regular,0.0945493,Breakfast,102.6332,OUT035,2004,Small,Tier 2,Supermarket Type1,1640.5312
648,FDF53,20.75,Regular,0.083590755,Frozen Foods,182.2318,OUT035,2004,Small,Tier 2,Supermarket Type1,3067.3406
660,FDE32,20.7,Low Fat,0.04874969,Fruits and Vegetables,37.5506,OUT035,2004,Small,Tier 2,Supermarket Type1,113.8518
681,FDD58,7.76,Low Fat,0.059341019,Snack Foods,99.77,OUT035,2004,Small,Tier 2,Supermarket Type1,798.96
688,FDG09,20.6,Regular,0.04792722,Fruits and Vegetables,185.9556,OUT035,2004,Small,Tier 2,Supermarket Type1,4318.3788
699,FDV37,13.0,Regular,0.083498083,Canned,199.4426,OUT035,2004,Small,Tier 2,Supermarket Type1,593.2278
701,NCI43,19.85,Low Fat,0.025963795,Household,46.3376,OUT035,2004,Small,Tier 2,Supermarket Type1,1150.5024
703,NCT18,14.6,Low Fat,0.059393919,Household,181.7976,OUT035,2004,Small,Tier 2,Supermarket Type1,3259.7568
734,NCK06,5.03,Low Fat,0.008644894,Household,122.6756,OUT035,2004,Small,Tier 2,Supermarket Type1,2665.8632
736,NCY18,7.285,Low Fat,0.031145742999999997,Household,173.6054,OUT035,2004,Small,Tier 2,Supermarket Type1,2626.5809999999997
747,FDA03,18.5,Regular,0.0,Dairy,144.2102,OUT035,2004,Small,Tier 2,Supermarket Type1,2041.3428
748,FDA01,15.0,Regular,0.054367970999999994,Canned,58.5904,OUT035,2004,Small,Tier 2,Supermarket Type1,996.0368
751,FDG08,13.15,Regular,0.165328057,Fruits and Vegetables,170.6764,OUT035,2004,Small,Tier 2,Supermarket Type1,3435.528
754,DRE13,6.28,Low Fat,0.027699862999999998,Soft Drinks,87.9198,OUT035,2004,Small,Tier 2,Supermarket Type1,1221.0772
776,DRB25,12.3,Low Fat,0.069446588,Soft Drinks,106.3938,OUT035,2004,Small,Tier 2,Supermarket Type1,857.5504
777,FDK26,5.46,Regular,0.03217132,Canned,184.824,OUT035,2004,Small,Tier 2,Supermarket Type1,4287.752
788,DRF03,19.1,Low Fat,0.045299563,Dairy,38.8138,OUT035,2004,Small,Tier 2,Supermarket Type1,365.5242
798,FDQ23,6.55,Low Fat,0.024521191,Breads,100.6332,OUT035,2004,Small,Tier 2,Supermarket Type1,2665.8632
810,FDP03,5.15,Regular,0.061165512000000005,Meat,125.6388,OUT035,2004,Small,Tier 2,Supermarket Type1,2848.2924
813,DRD49,9.895,Low Fat,0.167799329,Soft Drinks,239.4564,OUT035,2004,Small,Tier 2,Supermarket Type1,5243.8408
814,NCF42,17.35,Low Fat,0.167351411,Household,176.0712,OUT035,2004,Small,Tier 2,Supermarket Type1,2109.2544
815,DRK35,8.365,Low Fat,0.071832909,Hard Drinks,36.1506,OUT035,2004,Small,Tier 2,Supermarket Type1,721.0614
821,FDN23,6.575,Regular,0.07549348,Breads,143.5444,OUT035,2004,Small,Tier 2,Supermarket Type1,3338.3212
825,FDF46,7.07,Low Fat,0.093653464,Snack Foods,113.3834,OUT035,2004,Small,Tier 2,Supermarket Type1,1267.0174
839,FDV12,16.7,Regular,0.060863167,Baking Goods,97.6384,OUT035,2004,Small,Tier 2,Supermarket Type1,2857.6136
840,FDQ31,5.785,Regular,0.0,Fruits and Vegetables,87.1856,OUT035,2004,Small,Tier 2,Supermarket Type1,1406.1696
856,FDS27,10.195,Regular,0.012455787,Meat,197.511,OUT035,2004,Small,Tier 2,Supermarket Type1,2356.9320000000002
866,FDJ57,7.42,Regular,0.021569566000000002,Seafood,184.8582,OUT035,2004,Small,Tier 2,Supermarket Type1,4643.955
877,FDQ56,6.59,Low Fat,0.105577348,Fruits and Vegetables,85.6908,OUT035,2004,Small,Tier 2,Supermarket Type1,1929.4884
889,FDR57,5.675,Regular,0.023492524,Snack Foods,155.5288,OUT035,2004,Small,Tier 2,Supermarket Type1,1414.1592
926,FDO36,19.7,Low Fat,0.07789910900000001,Baking Goods,177.766,OUT035,2004,Small,Tier 2,Supermarket Type1,2696.49
932,FDX50,20.1,Low Fat,0.07461309,Dairy,108.7228,OUT035,2004,Small,Tier 2,Supermarket Type1,1215.7508
940,DRL37,15.5,Low Fat,0.053362085999999996,Soft Drinks,41.577,OUT035,2004,Small,Tier 2,Supermarket Type1,735.709
959,FDU25,12.35,Low Fat,0.026676216000000003,Canned,57.0246,OUT035,2004,Small,Tier 2,Supermarket Type1,1737.7379999999998
968,NCO17,10.0,Low Fat,0.0,Health and Hygiene,120.64399999999999,OUT035,2004,Small,Tier 2,Supermarket Type1,1917.504
969,FDH22,6.405,Low Fat,0.136275173,Snack Foods,128.1678,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.3424
975,FDR20,20.0,Regular,0.028118435,Fruits and Vegetables,46.7744,OUT035,2004,Small,Tier 2,Supermarket Type1,1222.4088
980,FDZ33,10.195,Low Fat,0.10737674300000001,Snack Foods,147.6076,OUT035,2004,Small,Tier 2,Supermarket Type1,3547.3824
985,FDJ33,8.895,Regular,0.088305478,Snack Foods,123.473,OUT035,2004,Small,Tier 2,Supermarket Type1,1478.076
992,FDZ39,19.7,Regular,0.018021361,Meat,101.199,OUT035,2004,Small,Tier 2,Supermarket Type1,1857.582
996,NCL30,18.1,Low Fat,0.048931174,Household,127.3336,OUT035,2004,Small,Tier 2,Supermarket Type1,1150.5024
998,DRJ39,20.25,Low Fat,0.036319195,Dairy,219.3482,OUT035,2004,Small,Tier 2,Supermarket Type1,5038.1086
1003,NCO06,19.25,LF,0.10801000599999999,Household,33.3558,OUT035,2004,Small,Tier 2,Supermarket Type1,713.0718
1008,FDC26,10.195,Low Fat,0.126359196,Canned,109.2886,OUT035,2004,Small,Tier 2,Supermarket Type1,1334.2632
1013,FDR59,14.5,Regular,0.063851475,Breads,260.4594,OUT035,2004,Small,Tier 2,Supermarket Type1,3139.9128
1026,NCB31,6.235,Low Fat,0.11865191900000001,Household,263.991,OUT035,2004,Small,Tier 2,Supermarket Type1,4207.856
1049,FDF04,17.5,Low Fat,0.013634468,Frozen Foods,256.4304,OUT035,2004,Small,Tier 2,Supermarket Type1,1808.3128
1052,NCD54,21.1,Low Fat,0.029003459,Household,143.4786,OUT035,2004,Small,Tier 2,Supermarket Type1,2311.6576
1054,FDO23,17.85,Low Fat,0.146399663,Breads,93.8436,OUT035,2004,Small,Tier 2,Supermarket Type1,1418.154
1055,FDN34,15.6,Regular,0.04575559,Snack Foods,167.1132,OUT035,2004,Small,Tier 2,Supermarket Type1,2874.9244
1060,FDZ56,16.25,Low Fat,0.025732114,Fruits and Vegetables,166.4474,OUT035,2004,Small,Tier 2,Supermarket Type1,5390.3168
1062,NCO18,13.15,Low Fat,0.024646607999999997,Household,177.4686,OUT035,2004,Small,Tier 2,Supermarket Type1,5510.8266
1066,FDD21,10.3,Regular,0.030563449,Fruits and Vegetables,114.4176,OUT035,2004,Small,Tier 2,Supermarket Type1,2633.9048
1071,NCE07,8.18,low fat,0.013127548000000001,Household,142.0154,OUT035,2004,Small,Tier 2,Supermarket Type1,1985.4156
1072,DRI51,17.25,Low Fat,0.042233642,Dairy,173.3764,OUT035,2004,Small,Tier 2,Supermarket Type1,2061.3168
1077,FDP11,15.85,Low Fat,0.06908748099999999,Breads,218.7166,OUT035,2004,Small,Tier 2,Supermarket Type1,1088.583
1093,FDQ46,7.51,Low Fat,0.10379339900000001,Snack Foods,110.1544,OUT035,2004,Small,Tier 2,Supermarket Type1,2684.5056
1095,FDB22,8.02,Low Fat,0.11141958800000001,Snack Foods,154.3998,OUT035,2004,Small,Tier 2,Supermarket Type1,3383.5956
1107,FDH20,16.1,Regular,0.024944396,Fruits and Vegetables,95.441,OUT035,2004,Small,Tier 2,Supermarket Type1,2220.4429999999998
1124,FDL38,13.8,reg,0.014730321999999999,Canned,90.9172,OUT035,2004,Small,Tier 2,Supermarket Type1,2141.2128
