"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLETPUS","194913","135451.32","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","195013","154519.994","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","195113","185203.657","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","195213","195436.666","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","195313","218846.325","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","195413","239145.966","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","195513","301362.698","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","195613","338503.484","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","195713","346386.207","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","195813","344365.781","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","195913","378424.21","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","196013","403067.357","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","196113","421870.669","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","196213","450249.238","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","196313","493926.719","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","196413","526230.019","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","196513","570925.951","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","196613","613474.8","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","196713","630483.363","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","196813","684904.58","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","196913","706001.24","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197013","704394.479","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197113","713102.454","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197213","771131.265","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197301","75190.149","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197302","67797.946","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197303","67387.612","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197304","63935.049","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197305","64927.181","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197306","69592.039","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197307","75988.308","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197308","78365.191","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197309","71304.493","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197310","70104.344","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197311","69706.997","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197312","73352.161","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197313","847651.47","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197401","73631.774","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197402","66116.767","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197403","67746.788","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197404","62866.281","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197405","67789.4","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197406","67470.507","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197407","76361.27","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197408","74759.54","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197409","65266.997","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197410","66953.772","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197411","66996.029","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197412","72473.794","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197413","828432.921","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197501","74836.043","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197502","67285.094","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197503","69176.492","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197504","64453.298","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197505","64741.073","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197506","70346.207","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197507","76294.723","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197508","78882.011","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197509","68558.859","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197510","69042.72","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197511","70424.195","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197512","78745.507","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197513","852786.222","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197601","83690.963","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197602","73516.196","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197603","76553.69","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197604","72559.403","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197605","72499.188","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197606","76925.845","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197607","83279.641","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197608","84206.526","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197609","75369.701","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197610","76932.19","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197611","81668.738","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197612","87188.912","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197613","944390.993","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197701","89829.161","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197702","78734.95","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197703","77492.179","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197704","70866.254","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197705","77049.033","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197706","83116.515","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197707","92372.785","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197708","90730.454","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197709","82564.552","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197710","79382.484","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197711","79467.834","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197712","83612.396","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197713","985218.596","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197801","85005.951","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
"CLETPUS","197802","70569.646","1","Electricity Net Generation From Coal, All Sectors","Million Kilowatthours"
