,year,month,passengers
0,1949,Jan,112
1,1949,Feb,118
2,1949,Mar,132
3,1949,Apr,129
4,1949,May,121
5,1949,Jun,135
6,1949,Jul,148
7,1949,Aug,148
8,1949,Sep,136
9,1949,Oct,119
10,1949,Nov,104
11,1949,Dec,118
12,1950,Jan,115
13,1950,Feb,126
14,1950,Mar,141
15,1950,Apr,135
16,1950,May,125
17,1950,Jun,149
18,1950,Jul,170
19,1950,Aug,170
20,1950,Sep,158
21,1950,Oct,133
22,1950,Nov,114
23,1950,Dec,140
24,1951,Jan,145
25,1951,Feb,150
26,1951,Mar,178
27,1951,Apr,163
28,1951,May,172
29,1951,Jun,178
30,1951,Jul,199
31,1951,Aug,199
32,1951,Sep,184
33,1951,Oct,162
34,1951,Nov,146
35,1951,Dec,166
36,1952,Jan,171
37,1952,Feb,180
38,1952,Mar,193
39,1952,Apr,181
40,1952,May,183
41,1952,Jun,218
42,1952,Jul,230
43,1952,Aug,242
44,1952,Sep,209
45,1952,Oct,191
46,1952,Nov,172
47,1952,Dec,194
48,1953,Jan,196
49,1953,Feb,196
50,1953,Mar,236
51,1953,Apr,235
52,1953,May,229
53,1953,Jun,243
54,1953,Jul,264
55,1953,Aug,272
56,1953,Sep,237
57,1953,Oct,211
58,1953,Nov,180
59,1953,Dec,201
60,1954,Jan,204
61,1954,Feb,188
62,1954,Mar,235
63,1954,Apr,227
64,1954,May,234
65,1954,Jun,264
66,1954,Jul,302
67,1954,Aug,293
68,1954,Sep,259
69,1954,Oct,229
70,1954,Nov,203
71,1954,Dec,229
72,1955,Jan,242
73,1955,Feb,233
74,1955,Mar,267
75,1955,Apr,269
76,1955,May,270
77,1955,Jun,315
78,1955,Jul,364
79,1955,Aug,347
80,1955,Sep,312
81,1955,Oct,274
82,1955,Nov,237
83,1955,Dec,278
84,1956,Jan,284
85,1956,Feb,277
86,1956,Mar,317
87,1956,Apr,313
88,1956,May,318
89,1956,Jun,374
90,1956,Jul,413
91,1956,Aug,405
92,1956,Sep,355
93,1956,Oct,306
94,1956,Nov,271
95,1956,Dec,306
96,1957,Jan,315
97,1957,Feb,301
98,1957,Mar,356
99,1957,Apr,348
100,1957,May,355
101,1957,Jun,422
102,1957,Jul,465
103,1957,Aug,467
104,1957,Sep,404
105,1957,Oct,347
106,1957,Nov,305
107,1957,Dec,336
108,1958,Jan,340
109,1958,Feb,318
110,1958,Mar,362
111,1958,Apr,348
112,1958,May,363
113,1958,Jun,435
114,1958,Jul,491
115,1958,Aug,505
116,1958,Sep,404
117,1958,Oct,359
118,1958,Nov,310
119,1958,Dec,337
120,1959,Jan,360
121,1959,Feb,342
122,1959,Mar,406
123,1959,Apr,396
124,1959,May,420
125,1959,Jun,472
126,1959,Jul,548
127,1959,Aug,559
128,1959,Sep,463
129,1959,Oct,407
130,1959,Nov,362
131,1959,Dec,405
132,1960,Jan,417
133,1960,Feb,391
134,1960,Mar,419
135,1960,Apr,461
136,1960,May,472
137,1960,Jun,535
138,1960,Jul,622
139,1960,Aug,606
140,1960,Sep,508
141,1960,Oct,461
142,1960,Nov,390
143,1960,Dec,432
