Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Precious Achiuwa,PF,21,MIA,28,408,15.1,.599,.000,.541,10.5,19.8,15.4,6.8,1.4,3.8,16.1,19.7,0.3,0.6,0.9,.101,-2.8,-0.2,-3.0,-0.1
Jaylen Adams,PG,24,MIL,6,17,-6.9,.125,.250,.000,0.0,18.2,9.4,13.4,0.0,0.0,0.0,19.7,-0.1,0.0,-0.1,-0.265,-15.6,-5.2,-20.9,-0.1
Steven Adams,C,27,NOP,27,760,15.9,.592,.006,.397,16.9,18.0,17.5,10.1,1.7,2.0,20.1,12.8,1.2,0.5,1.7,.109,-0.1,-1.0,-1.1,0.2
Bam Adebayo,C,23,MIA,26,873,22.7,.641,.015,.469,6.8,23.2,15.4,27.9,1.4,3.2,16.2,24.6,2.3,1.3,3.6,.196,2.9,2.0,4.9,1.5
LaMarcus Aldridge,C,35,SAS,18,480,15.2,.542,.298,.093,3.2,14.0,8.4,11.4,0.7,2.8,6.4,22.3,0.2,0.5,0.7,.075,0.3,-1.0,-0.7,0.2
Ty-Shon Alexander,SG,22,PHO,3,8,-11.9,.000,.333,.000,0.0,13.6,6.9,14.7,0.0,0.0,0.0,16.8,-0.1,0.0,-0.1,-0.327,-16.4,-4.8,-21.2,0.0
Nickeil Alexander-Walker,SG,22,NOP,23,441,12.0,.502,.463,.170,1.3,14.1,7.7,14.9,2.8,1.9,12.9,22.4,-0.2,0.4,0.2,.025,-2.6,0.1,-2.5,-0.1
Grayson Allen,SG,25,MEM,19,454,14.0,.630,.721,.264,1.7,12.0,6.7,11.5,2.0,0.6,11.3,16.5,0.7,0.4,1.1,.113,0.4,0.1,0.5,0.3
Jarrett Allen,C,22,TOT,28,734,22.5,.695,.021,.695,12.6,25.5,19.1,9.0,0.9,5.5,14.8,17.1,2.3,0.8,3.1,.203,2.3,0.4,2.7,0.9
Jarrett Allen,C,22,BRK,12,320,21.3,.730,.000,.938,14.2,28.8,21.9,8.2,1.0,4.9,19.3,15.4,1.0,0.4,1.4,.210,1.3,0.6,1.9,0.3
Jarrett Allen,C,22,CLE,16,414,23.5,.675,.032,.568,11.4,23.0,17.0,9.7,0.7,5.9,11.8,18.4,1.3,0.4,1.7,.197,3.2,0.2,3.4,0.6
Al-Farouq Aminu,PF,30,ORL,2,16,7.5,.798,1.000,2.000,6.2,20.3,13.0,16.7,0.0,0.0,51.5,10.3,0.0,0.0,0.0,-0.034,-3.4,0.1,-3.3,0.0
