psl_year,match_number,team_1,team_2,inning,over,ball,runs,total_runs,wickets,is_four,is_six,is_wicket,wicket,wicket_text,result
2016,1,Islamabad United,Quetta Gladiators,1,1,1,0,0,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,1,2,0,0,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,1,3,0,0,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,1,4,0,0,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,1,5,0,0,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,1,6,0,0,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,2,1,0,0,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,2,2,1,1,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,2,3,2,3,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,2,4,0,3,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,2,5,0,3,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,2,6,2,5,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,3,1,1,6,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,3,2,4,10,0,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,3,3,0,10,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,3,4,0,10,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,3,5,0,10,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,3,6,1,11,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,4,1,0,11,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,4,2,0,11,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,4,3,1,12,0,FALSE,FALSE,FALSE,,,Gladiators
