	ResponseId	MainBranch	Employment	Country	US_State	UK_Country	EdLevel	Age1stCode	LearnCode	YearsCode	YearsCodePro	DevType	OrgSize	Currency	CompTotal	CompFreq	LanguageHaveWorkedWith	LanguageWantToWorkWith	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	PlatformHaveWorkedWith	PlatformWantToWorkWith	WebframeHaveWorkedWith	WebframeWantToWorkWith	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	OpSys	NEWStuck	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOComm	NEWOtherComms	Age	Gender	Trans	Sexuality	Ethnicity	Accessibility	MentalHealth	SurveyLength	SurveyEase	ConvertedCompYearly
102	103	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):	4	1	Developer, back-end;Student	20 to 99 employees	"PKR	Pakistani rupee"	100000.0	Monthly	Python	C;C++;Rust			AWS		Django	Django			Docker;Git	Docker;Git	Visual Studio;Visual Studio Code	Visual Studio;Visual Studio Code	Linux-based	Visit Stack Overflow;Google it	Stack Overflow	Multiple times per day	Yes	A few times per month or weekly	Neutral	Yes	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	7788.0
242	243	I am a developer by profession	Not employed, and not looking for work	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	11 - 17 years	Other (please specify):	15							Java;SQL	Go;Rust	MySQL;PostgreSQL	Cassandra;MongoDB;Redis	AWS	AWS;DigitalOcean	Spring	Django			Docker;Git	Ansible;Docker;Git;Kubernetes;Terraform	IntelliJ;NetBeans;Notepad++;Visual Studio Code	Emacs;IntelliJ;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Daily or almost daily	Yes, definitely	No	35-44 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
476	477	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	School	8	4	Developer, front-end;Developer, full-stack;Developer, back-end	20 to 99 employees	"PKR	Pakistani rupee"	198000.0	Monthly	C#;HTML/CSS;JavaScript;Node.js;R;Ruby;SQL;TypeScript	C#;Elixir;HTML/CSS;JavaScript;Node.js;R;Ruby;SQL;TypeScript	DynamoDB;Microsoft SQL Server	Cassandra;DynamoDB;Microsoft SQL Server;PostgreSQL	AWS;Microsoft Azure	AWS;Google Cloud Platform;Microsoft Azure	Angular;Angular.js;ASP.NET Core ;Express;React.js;Ruby on Rails;Vue.js	ASP.NET Core ;FastAPI;React.js;Ruby on Rails	.NET Core / .NET 5;React Native	.NET Core / .NET 5;Flutter	Git	Deno;Docker;Git	Rider;Visual Studio;Visual Studio Code	Rider;Visual Studio Code	Windows	Go for a walk or other physical activity;Do other work and come back later	Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	No, not really	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	15408.0
535	536	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Colleague	6	3	Developer, mobile;Developer, front-end	2 to 9 employees	"PKR	Pakistani rupee"	70000.0	Monthly	HTML/CSS;JavaScript;TypeScript	HTML/CSS;JavaScript;Node.js;TypeScript			Heroku	Heroku	Angular;Angular.js;jQuery	Angular;Vue.js	Cordova;React Native	Cordova;React Native	Git;Yarn	Git;Yarn	Android Studio;Sublime Text;Visual Studio Code;Xcode	Android Studio;Neovim;Visual Studio Code;Xcode	Windows	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Visit another developer community (please name):	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Daily or almost daily	Yes, definitely	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	5448.0
598	599	I am a developer by profession	Employed full-time	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	18 - 24 years	School	9	5	Developer, front-end;Developer, full-stack;Developer, back-end	10 to 19 employees	"PKR	Pakistani rupee"	100000.0	Monthly	C++;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL	Node.js;PHP	MySQL	MySQL	AWS		ASP.NET Core ;jQuery;Laravel	Express;jQuery;Laravel			Git	Git	Android Studio;NetBeans;Notepad++;PHPStorm;Visual Studio	Notepad++;PHPStorm	Windows	Visit Stack Overflow;Google it	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Multiple times per day	Yes, definitely	Yes	25-34 years old	Man	No	Prefer not to say	South Asian	None of the above	None of the above	Appropriate in length	Easy	7788.0
899	900	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Online Forum;Online Courses or Certification	7	3	Developer, mobile	10 to 19 employees	"PKR	Pakistani rupee"	45000.0	Monthly	Dart;Java;Kotlin;PHP	Dart;Java;Kotlin	MySQL;SQLite	MySQL;PostgreSQL;SQLite	AWS		Angular;Django;Laravel	Laravel;Vue.js	Flutter;Keras;NumPy;Pandas;TensorFlow	Flutter;Keras;NumPy;Pandas;TensorFlow	Git	Git	Android Studio;IntelliJ;PHPStorm;PyCharm;Visual Studio Code	Android Studio;PHPStorm;PyCharm;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Yes, definitely	Yes	25-34 years old	Man	No	Straight / Heterosexual	Middle Eastern	None of the above	None of the above	Appropriate in length	Easy	3504.0
920	921	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Online Courses or Certification	5	2	Developer, full-stack;Developer, back-end	20 to 99 employees	"PKR	Pakistani rupee"		Monthly	Dart;HTML/CSS;JavaScript;Node.js;Python;TypeScript	Dart;Go;Java;JavaScript;Node.js;Python;TypeScript	Firebase;MongoDB;Redis	Firebase;MongoDB;MySQL;Redis	Heroku;Microsoft Azure	DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure	Angular;Express;React.js	Angular;Express	Flutter	Flutter;TensorFlow	Docker;Git	Docker;Git;Kubernetes	Visual Studio Code	Visual Studio Code	Windows	Google it	Stack Overflow	A few times per week	Yes	A few times per month or weekly	Yes, somewhat	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
1078	1079	I code primarily as a hobby	Employed full-time	Pakistan			Some college/university study without earning a degree	11 - 17 years	Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification			Developer, full-stack;Student					Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;VBA	C#;Dart;Java;JavaScript;Kotlin;Node.js;Objective-C;TypeScript	Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite	Firebase;MongoDB;MySQL;Oracle;PostgreSQL	Google Cloud Platform;Heroku	AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure	jQuery;Laravel;React.js;Symfony;Vue.js	Angular.js;ASP.NET Core ;Drupal;React.js	.NET Framework;React Native	.NET Framework;Flutter;React Native	Git;Xamarin	Docker;Git	Android Studio;Eclipse;IntelliJ;NetBeans;Notepad++;PHPStorm;Visual Studio;Visual Studio Code;Webstorm	Android Studio;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos;Play games	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Yes, definitely	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	I have a concentration and/or memory disorder (e.g. ADHD)	Appropriate in length	Easy	
1087	1088	I used to be a developer by profession, but no longer am	Employed full-time	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	11 - 17 years	School;Online Courses or Certification	15	3	Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Student;Educator					C++;Python;SQL	C#;C++;JavaScript;Python;SQL;Swift	Microsoft SQL Server	Microsoft SQL Server;MongoDB					.NET Framework;Keras;NumPy;Pandas;Torch/PyTorch	.NET Framework;.NET Core / .NET 5;Apache Spark;Hadoop;Keras;NumPy;Pandas;Torch/PyTorch			IPython/Jupyter;Visual Studio Code	IPython/Jupyter;Visual Studio;Visual Studio Code	Linux-based	Visit Stack Overflow;Do other work and come back later;Meditate;Panic	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Yes, somewhat	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian;Middle Eastern	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	
1164	1165	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	School;Online Courses or Certification	7	3	Developer, front-end;Developer, back-end	10 to 19 employees	"PKR	Pakistani rupee"	25000.0	Monthly	HTML/CSS;JavaScript;PHP	HTML/CSS;JavaScript;Node.js;PHP;SQL					jQuery;Laravel	Angular;ASP.NET;jQuery;Laravel;React.js;Vue.js	Apache Spark;Flutter;Hadoop		Git	Git	PHPStorm;Sublime Text;Visual Studio Code	PHPStorm;Visual Studio Code	Windows	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Yes, somewhat	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	1944.0
