rollno,gender,group,age,math,english,urdu
MS01,female,group B,28,72,72,74
MS03,female,group B,21,71,95,93
MS06,female,group B,25,71,83,78
MS07,female,group B,47,88,95,92
MS08,male,group B,33,40,43,39
MS10,female,group B,33,38,60,50
MS13,female,group B,25,65,81,73
MS18,female,group B,31,18,32,28
MS22,female,group B,32,65,75,70
MS27,male,group B,30,69,54,55
MS32,female,group B,22,63,65,61
MS40,male,group B,33,57,56,57
MS43,female,group B,38,53,58,65
MS44,male,group B,31,59,65,66
MS46,male,group B,26,65,54,57
MS47,female,group B,25,71,54,57
