Suburb,Rooms,Type,Method,SellerG,Distance,Regionname,Propertycount,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Price
Abbotsford,2,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,1.0,202.0,160.2564003565711,1480000.0
Abbotsford,2,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,0.0,156.0,79.0,1035000.0
Abbotsford,3,h,SP,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,2.0,0.0,134.0,150.0,1465000.0
Abbotsford,3,h,PI,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,2.0,1.0,94.0,160.2564003565711,850000.0
Abbotsford,4,h,VB,Nelson,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,1.0,2.0,120.0,142.0,1600000.0
Abbotsford,2,h,S,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,0.0,181.0,160.2564003565711,941000.0
Abbotsford,3,h,S,Nelson,2.5,Northern Metropolitan,4019.0,Yarra City Council,4.0,2.0,0.0,245.0,210.0,1876000.0
Abbotsford,2,h,S,Nelson,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,2.0,256.0,107.0,1636000.0
Abbotsford,3,h,S,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,1000000.0
Abbotsford,2,t,S,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,745000.0
Abbotsford,1,u,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,1.0,1.0,1.0,0.0,160.2564003565711,300000.0
Abbotsford,2,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,1.0,2.0,220.0,75.0,1097000.0
Abbotsford,2,u,S,Dingle,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,542000.0
Abbotsford,2,u,SP,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,760000.0
Abbotsford,1,u,SP,Purplebricks,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,481000.0
Abbotsford,2,u,VB,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,2.0,1.0,0.0,160.2564003565711,700000.0
Abbotsford,3,h,VB,Nelson,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,2.0,2.0,214.0,190.0,1350000.0
Abbotsford,2,u,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,2.0,1.0,0.0,94.0,750000.0
Abbotsford,4,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,1985000.0
Abbotsford,1,u,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,500000.0
Abbotsford,2,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,1.0,195.0,160.2564003565711,1172500.0
Abbotsford,1,u,SP,Greg,2.5,Northern Metropolitan,4019.0,Yarra City Council,1.0,1.0,1.0,0.0,160.2564003565711,441000.0
Abbotsford,2,h,S,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,2.0,238.0,97.0,1310000.0
Abbotsford,3,h,S,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,2.0,1.0,113.0,110.0,1200000.0
Abbotsford,2,t,S,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,847000.0
Abbotsford,3,h,S,LITTLE,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,1.0,138.0,105.0,1176500.0
Abbotsford,3,h,S,Collins,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,1.0,0.0,183.0,160.2564003565711,955000.0
Abbotsford,2,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,1.0,150.0,73.0,890000.0
Abbotsford,4,h,PI,Kay,2.5,Northern Metropolitan,4019.0,Yarra City Council,4.0,2.0,2.0,780.0,135.0,1330000.0
Abbotsford,3,t,S,Beller,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,2.0,2.0,0.0,160.2564003565711,900000.0
